index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,18.75,18.761593,0.0
1,task-5-1,vm1,18.761593,12.14100000000326,30.889416,18.75
2,task-8-2,vm4,0.0,10.23399999999674,10.245818,0.0
3,task-2-3,vm1,30.889416,2.187000000034459,33.081648,30.89100000000326
4,task-10-4,vm4,0.001001,6.4060000000172295,6.410813,0.0
5,task-3-5,vm2,0.001001,6.172000000020489,6.183789,0.0
6,task-4-6,vm2,0.001001,4.5,4.507217,0.0
7,task-4-7,vm2,4.507217,5.35899999999674,9.866763,4.5
8,task-7-8,vm3,0.001001,5.85899999999674,5.865676,0.0
9,task-3-9,vm2,6.183789,5.8439999999827705,12.027017,6.172000000020489
10,task-9-10,vm4,0.001001,15.48399999999674,15.495769,0.0
11,task-1-11,vm3,0.001999,11.594000000040978,11.602866,0.0
12,task-7-12,vm3,0.002998,11.594000000040978,11.601866,0.0
13,task-9-13,vm4,0.002998,41.29700000002049,41.303897,0.0
14,task-1-14,vm3,0.002998,11.594000000040978,11.601866,0.0
15,task-8-15,vm4,0.002998,36.31300000002375,36.311344,0.0
16,task-2-16,vm2,9.866763,3.5630000000237487,13.435119,9.85899999999674
17,task-5-17,vm1,33.081648,12.48499999998603,45.569844,33.07800000003772
18,task-6-18,vm2,12.027017,9.797000000020489,21.813876,12.01600000000326
19,task-10-19,vm4,0.002998,26.18800000002375,26.189649,0.0
20,task-6-20,vm3,5.865676,9.625,15.494766,5.85899999999674
21,task-5-21,vm2,13.435119,14.077999999979511,27.510226,13.422000000020489
22,task-8-22,vm3,11.601866,15.764999999955762,27.366594,11.594000000040978
23,task-2-23,vm2,21.814884,6.875,28.693237,21.81300000002375
24,task-10-24,vm4,0.002998,32.35899999999674,32.362665,0.0
25,task-3-25,vm2,27.510226,3.1089999999967404,30.618288,27.5
26,task-4-26,vm2,28.694227,5.702999999979511,34.391929,28.68800000002375
27,task-4-27,vm2,30.618288,7.532000000006519,38.14509,30.60899999999674
28,task-7-28,vm3,11.602866,9.71899999998277,21.325947,11.594000000040978
29,task-3-29,vm2,34.391929,6.9060000000172295,41.302898,34.39100000000326
30,task-9-30,vm4,0.002998,21.26600000000326,21.270279,0.0
31,task-1-31,vm2,38.14509,3.1560000000172295,41.303897,38.14100000000326
32,task-7-32,vm3,11.602866,21.42199999996228,33.020072,11.594000000040978
33,task-9-33,vm4,6.410813,39.34399999998277,45.753894,6.4060000000172295
34,task-1-34,vm2,41.302898,4.26600000000326,45.568334,41.29700000002049
35,task-8-35,vm4,10.245818,39.625,49.863934,10.23399999999674
36,task-2-36,vm2,41.303897,4.26600000000326,45.568334,41.29700000002049
37,task-5-37,vm4,15.495769,37.20400000002701,52.700208,15.48399999999674
38,task-6-38,vm3,15.494766,21.469000000040978,36.960157,15.48399999999674
39,task-2-39,vm2,45.568334,4.217999999993481,49.783266,45.56300000002375
40,task-3-40,vm2,45.568334,2.4209999999729916,47.988317,45.56300000002375
41,task-4-41,vm2,47.988317,4.844000000040978,52.837418,47.98399999999674
42,task-5-42,vm1,45.569844,13.061999999976251,58.625583,45.56300000002375
43,task-6-43,vm3,21.325947,19.98399999999674,41.303897,21.31300000002375
44,task-1-44,vm2,49.783266,3.047000000020489,52.839063,49.78100000001723
45,task-3-45,vm2,52.837418,5.796999999962281,58.626584,52.82800000003772
46,task-4-46,vm2,52.839063,3.562999999965541,56.389758,52.82800000003772
47,task-9-47,vm4,21.270279,35.06200000003446,56.337331,21.26600000000326
48,task-6-48,vm3,27.366594,18.20400000002701,45.568334,27.35899999999674
49,task-7-49,vm3,33.020072,16.92200000002049,49.945751,33.01600000000326
