,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization
0,118.73399999999674,2.097124665218108,580.9170000001322,7164.93400000321,2.3330000000005313,28.774835341378353,1.153238758721642,0.3261727895969973
1,121.42199999996228,2.0506992143110585,594.9709999997285,7580.013999995543,2.389441767067183,30.44182329315479,1.2226411035161142,0.3266684236244466
2,127.71899999998277,1.9495924647079417,681.4379999998491,8691.063999995124,2.736698795180117,34.90387148592419,1.276160120216408,0.3556964899505639
3,124.48499999998603,2.000240992890934,584.3269999998738,7304.064999998722,2.346694779115959,29.333594377504905,1.1217896828316924,0.3129303396660585
4,120.56199999997625,2.065327383421385,570.3869999995804,7198.851999994833,2.290710843371809,28.911052208814592,1.1298083581850236,0.3154045221544062
5,114.14100000000326,2.1815123400004635,561.4349999995902,6946.628999994544,2.2547590361429326,27.898108433713027,1.149269283175725,0.32791897740489057
6,193.9529999999795,1.2838161822710983,643.0930000001099,10590.29499999911,2.5827028112454213,42.531305220879965,1.0348301101084476,0.2210477108715953
7,160.2029999999795,1.5542780097752966,602.6869999997434,8946.94799999561,2.4204297188744714,35.93151807227152,1.0951024329374492,0.25080137908354627
8,151.85899999999674,1.6396789126756093,597.6360000002896,8756.965000003343,2.4001445783144164,35.168534136559614,1.0875984713103735,0.2623644301623227
9,148.64100000000326,1.6751771045673438,674.2679999999236,9196.395000000019,2.707903614457525,36.93331325301212,1.0913761293725028,0.30241454242096005
Average,138.17189999998664,1.8497447269839238,609.1158999998821,8237.616099998006,2.4462485943770367,33.08279558232131,1.1361814450375378,0.30014196049357866
